jenis_hari,akhir_pekan,jam,jumlah,hari_teramati,rata_per_hari,rata_durasi,rata_tarif_per_menit
Hari kerja,False,0,35351,24,1472.96,14.1,2.57
Hari kerja,False,1,17516,24,729.83,13.04,2.66
Hari kerja,False,2,9452,24,393.83,12.23,2.63
Hari kerja,False,3,6238,24,259.92,12.87,2.72
Hari kerja,False,4,6192,24,258.0,14.79,2.81
Hari kerja,False,5,12462,24,519.25,14.63,2.82
Hari kerja,False,6,35728,24,1488.67,14.57,2.33
Hari kerja,False,7,74157,24,3089.88,14.66,2.07
Hari kerja,False,8,98431,24,4101.29,14.82,1.9
Hari kerja,False,9,103263,24,4302.62,15.03,1.9
Hari kerja,False,10,105228,24,4384.5,15.24,1.89
Hari kerja,False,11,108784,24,4532.67,15.25,1.86
Hari kerja,False,12,117281,24,4886.71,15.04,1.9
Hari kerja,False,13,123446,24,5143.58,15.5,1.91
Hari kerja,False,14,134562,24,5606.75,16.88,1.85
Hari kerja,False,15,138804,24,5783.5,16.8,1.83
Hari kerja,False,16,136632,24,5693.0,16.68,2.15
Hari kerja,False,17,151736,24,6322.33,15.92,2.13
Hari kerja,False,18,159457,24,6644.04,14.03,2.22
Hari kerja,False,19,139999,24,5833.29,13.26,2.36
Hari kerja,False,20,120931,24,5038.79,12.92,2.27
Hari kerja,False,21,117658,24,4902.42,13.01,2.29
Hari kerja,False,22,104060,24,4335.83,13.56,2.3
Hari kerja,False,23,75215,24,3133.96,13.84,2.38
Akhir pekan,True,0,46938,10,4693.8,13.18,2.2
Akhir pekan,True,1,40250,10,4025.0,12.46,2.26
Akhir pekan,True,2,30993,10,3099.3,12.02,2.33
Akhir pekan,True,3,19908,10,1990.8,11.92,2.41
Akhir pekan,True,4,10426,10,1042.6,12.76,2.49
Akhir pekan,True,5,4478,10,447.8,14.91,2.78
Akhir pekan,True,6,6572,10,657.2,14.04,2.72
Akhir pekan,True,7,10412,10,1041.2,12.71,2.74
Akhir pekan,True,8,15633,10,1563.3,11.28,2.62
Akhir pekan,True,9,24725,10,2472.5,10.89,2.49
Akhir pekan,True,10,35002,10,3500.2,11.25,2.37
Akhir pekan,True,11,41755,10,4175.5,11.76,2.22
Akhir pekan,True,12,48433,10,4843.3,12.85,2.14
Akhir pekan,True,13,50737,10,5073.7,13.99,2.06
Akhir pekan,True,14,52179,10,5217.9,15.12,2.0
Akhir pekan,True,15,52588,10,5258.8,15.43,1.98
Akhir pekan,True,16,54057,10,5405.7,16.1,1.92
Akhir pekan,True,17,52663,10,5266.3,16.18,1.91
Akhir pekan,True,18,51401,10,5140.1,14.89,1.95
Akhir pekan,True,19,48348,10,4834.8,14.75,1.99
Akhir pekan,True,20,40858,10,4085.8,14.19,2.18
Akhir pekan,True,21,40112,10,4011.2,14.16,2.25
Akhir pekan,True,22,39740,10,3974.0,14.27,2.26
Akhir pekan,True,23,36120,10,3612.0,14.24,2.28
